,retail,period,area,kod_retail,group,kod_sku,weight,brand,quantity,purchase_price,sales_price,total_purchase,total_sales,profit
42,1,3,moscow,1063,вафли,181770,43,6,173,36.3616185,48.24705202,6290.5600005,8346.73999946,2056.1799989600004
43,1,3,moscow,1063,вафли,3123905,150,10,73,26.89479452,36.67369863,1963.3199999600001,2677.17999999,713.8600000299998
44,1,3,moscow,1063,вафли,3264877,290,13,98,38.75112245,55.03295918,3797.6100000999995,5393.22999964,1595.6199995400002
45,1,3,moscow,1063,вафли,3552637,300,13,59,32.86610169,47.81084746,1939.09999971,2820.84000014,881.74000043
46,1,3,moscow,1063,вафли,3774152,39,6,113,35.82247788,50.01168142,4047.94000044,5651.32000046,1603.3800000200004
47,1,3,moscow,1063,вафли,4116685,43,6,80,36.19575,30.490125,2895.66,2439.21,-456.4499999999998
48,1,3,moscow,1106,вафли мягкие,3774087,620,11,50,97.57,169.977,4878.5,8498.85,3620.3500000000004
49,1,3,moscow,1106,вафли,124647,220,5,64,30.828125,52.0565625,1973.0,3331.62,1358.62
50,1,3,moscow,1106,вафли,3264878,290,13,147,33.25836735,57.86727891,4888.98000045,8506.489999770001,3617.509999320001
51,1,3,moscow,1106,вафли,3552637,300,13,109,29.72055046,46.91963303,3239.54000014,5114.24000027,1874.7000001299998
52,1,3,moscow,1106,вафли,3552814,160,13,45,29.19666667,64.0,1313.85000015,2880.0,1566.14999985
53,1,3,moscow,1106,вафли,3556408,220,5,87,34.80724138,52.48425287,3028.23000006,4566.12999969,1537.89999963
54,1,3,moscow,1106,вафли,3730870,300,10,44,49.02886364,69.34772727,2157.2700001599997,3051.2999998799996,894.02999972
55,1,3,moscow,1106,вафли,3791712,400,1,60,55.18816667,74.9865,3311.2900002,4499.1900000000005,1187.8999998000004
56,1,3,moscow,1106,вафли,4116685,43,6,91,35.63175824,50.44747253,3242.48999984,4590.72000023,1348.2300003899995
57,1,3,moscow,1106,вафли,4164638,180,2,74,26.03702703,41.98756757,1926.74000022,3107.0800001800003,1180.3399999600003
58,1,3,moscow,1106,вафли,4219438,160,,82,33.6447561,50.91317073,2758.8700002,4174.87999986,1416.0099996599997
59,1,3,moscow,1106,торты  вафельные,141931,270,17,49,84.64530612,139.354898,4147.61999988,6828.390001999999,2680.770002119999
60,1,3,moscow,1106,торты  вафельные,196348,270,17,46,81.56978261,119.9863043,3752.2100000600003,5519.3699978,1767.15999774
61,1,3,moscow,1106,торты  вафельные,198206,250,14,53,52.86,79.95981132,2801.58,4237.86999996,1436.2899999600004
62,1,3,moscow,1116,вафли мягкие,3335226,150,17,204,21.56210784,40.56377451,4398.66999936,8275.01000004,3876.3400006800002
63,1,3,moscow,1116,вафли мягкие,3335240,100,17,148,16.41574324,39.49398649,2429.5299995200003,5845.11000052,3415.5800009999994
64,1,3,moscow,1116,вафли мягкие,3335242,100,17,136,15.46367647,37.63433824,2103.05999992,5118.27000064,3015.21000072
65,1,3,moscow,1116,вафли мягкие,3802673,130,Q094,46,26.09934783,47.78369565,1200.57000018,2198.0499999,997.4799997199998
66,1,3,moscow,1116,вафли,124647,220,5,177,30.81581921,54.05011299,5454.400000170001,9566.86999923,4112.46999906
67,1,3,moscow,1116,вафли,125299,220,5,190,30.60873684,52.97705263,5815.6599995999995,10065.6399997,4249.980000100001
68,1,3,moscow,1116,вафли,3123905,150,10,144,27.240625,37.86645833,3922.65,5452.76999952,1530.11999952
69,1,3,moscow,1116,вафли,3264877,290,13,253,41.62581028,59.48849802,10531.33000084,15050.589999060001,4519.259998220001
70,1,3,moscow,1116,вафли,3391397,190,13,237,28.07312236,51.45063291,6653.32999932,12193.79999967,5540.47000035
71,1,3,moscow,1116,вафли,3552637,300,13,266,36.4081203,51.04902256,9684.5599998,13579.04000096,3894.48000116
72,1,3,moscow,1116,вафли,3552814,160,13,93,29.04569892,53.27946237,2701.24999956,4954.99000041,2253.74000085
73,1,3,moscow,1116,вафли,3556408,220,5,149,29.963825500000002,53.10597315,4464.6099995,7912.78999935,3448.179999849999
74,1,3,moscow,1116,вафли,3592934,400,1,52,39.74942308,82.79903846,2066.97000016,4305.54999992,2238.57999976
75,1,3,moscow,1116,вафли,3774152,39,6,242,36.15008264,49.98793388,8748.31999888,12097.07999896,3348.7600000799994
76,1,3,moscow,1116,вафли,3791711,400,1,104,49.24759615,78.26288462,5121.7499996,8139.34000048,3017.59000088
77,1,3,moscow,1116,вафли,3796828,150,10,86,24.19337209,39.20953488,2080.62999974,3372.01999968,1291.38999994
78,1,3,moscow,1116,вафли,4026723,160,Q219,50,52.3726,68.5738,2618.63,3428.6900000000005,810.0600000000004
79,1,3,moscow,1116,вафли,4036821,90,,63,27.93174603,50.82730159,1759.69999989,3202.12000017,1442.4200002799998
80,1,3,moscow,1116,вафли,4164637,180,2,155,26.16974194,41.79219355,4056.3100007000003,6477.79000025,2421.47999955
81,1,3,moscow,1116,вафли,4164638,180,2,88,25.70681818,41.59261364,2262.1999998399997,3660.1500003200003,1397.9500004800007
82,1,3,moscow,1116,вафли,4219438,160,,85,33.47282353,48.51952941,2845.19000005,4124.15999985,1278.9699997999996
83,1,3,moscow,1116,торты  вафельные,3501910,270,17,44,82.38636364,125.6565909,3625.00000016,5528.8899996,1903.8899994399999
84,1,3,moscow,1116,торты  вафельные,4242158,180,,78,69.3375641,114.0512821,5408.329999799999,8896.0000038,3487.6700040000005
85,1,3,moscow,1152,вафли мягкие,4073877,50,R01F,52,7.996923077000001,17.91269231,415.84000000400005,931.46000012,515.620000116
86,1,3,moscow,1197,вафли,4196107,22,8,91,21.66,37.45505495,1971.06,3408.4100004499996,1437.3500004499997
87,1,3,moscow,1197,вафли,4219438,160,,56,34.25464286,50.74803571,1918.26000016,2841.88999976,923.6299996000002
88,1,3,nizhny novgorod region,1123,вафли мягкие,3335240,100,17,102,15.89519608,36.60127451,1621.31000016,3733.33000002,2112.01999986
89,1,3,nizhny novgorod region,1123,вафли,2250092,200,13,62,32.301612899999995,47.80403226,2002.6999997999997,2963.85000012,961.1500003200003
90,1,3,nizhny novgorod region,1123,вафли,3552637,300,13,61,31.9257377,47.98081967,1947.4699997,2926.82999987,979.3600001699999
91,1,3,nizhny novgorod region,1123,вафли,3556408,220,5,51,36.53568627,47.00392157,1863.3199997699999,2397.20000007,533.8800003000001
92,1,3,nizhny novgorod region,1123,вафли,3743049,40,5,159,10.66591195,13.97591195,1695.88000005,2222.17000005,526.29
93,1,3,nizhny novgorod region,1126,вафли мягкие,4073877,50,R01F,46,8.002173913,14.81217391,368.099999998,681.35999986,313.25999986200003
94,1,3,nizhny novgorod region,1126,вафли,124647,220,5,53,30.9090566,50.96698113,1638.1799998,2701.2499998900003,1063.0700000900003
95,1,3,nizhny novgorod region,1126,вафли,2250092,200,13,45,31.88111111,47.96711111,1434.64999995,2158.51999995,723.8700000000001
96,1,3,nizhny novgorod region,1126,вафли,3264877,290,13,50,38.8774,52.5788,1943.8700000000001,2628.94,685.0699999999999
97,1,3,nizhny novgorod region,1126,вафли,3552637,300,13,44,30.58386364,47.79136364,1345.69000016,2102.82000016,757.1299999999999
98,1,3,nizhny novgorod region,1126,вафли,3556408,220,5,46,32.74108696,52.89239129999999,1506.0900001599998,2433.0499997999996,926.9599996399998
99,1,3,nizhny novgorod region,1126,вафли,3743049,40,5,136,10.62397059,16.84808824,1444.86000024,2291.3400006399997,846.4800003999997
100,1,3,nizhny novgorod region,1126,вафли,4116685,43,6,94,35.69180851,31.53542553,3355.02999994,2964.32999982,-390.7000001199999
